ID,Cohort,DOB,D1.Date,D1.Age,Cage,Index,Tx,Sex,Post.Covid,D1.Dist,D1.ToR,D1.DoR,0.5.D1.ToR,5.10.D1.ToR,10.15.D1.ToR,15.20.D1.ToR,20.25.D1.ToR,25.30.D1.ToR,D2.Dist,D2.Rot,D9.Dist,D9.ToR,D9D1.ToR,D9.DoR,D9.Rot,0.5.D9.ToR,5.10.D9.ToR,10.15.D9.ToR,15.20.D9.ToR,20.25.D9.ToR,25.30.D9.ToR,0.5.D9D1.ToR,5.10.D9D1.ToR,10.15.D9D1.ToR,15.20.D9D1.ToR,20.25.D9D1.ToR,25.30.D9D1.ToR,0.5.D9.Dist,5.10.D9.Dist,10.15.D9.Dist,15.20.D9.Dist,20.25.D9.Dist,25.30.D9.Dist,Brain.Wt,Brain.Wt.Norm,Brain.OXY,Brain.NOR,Brain.OMOR,Brain.NOR.OXY,Brain.OMOR.OXY,Brain.OMOR.NOR,HP.BL1,HP.BL2,HP.Av,HP.Av.Norm,SBR011268975,SBR011564753,SBJ012083864,SBB012960401,SBB013116937,SBB013583156,SBB014746527,SBB014938916,SBR015062003,SBJ015276763,SBJ015389798,SBJ015444437,SBJ016017430,SBR017236125,SBJ020533570,SBB020584334,SBB021725481,SBT021816505,SBB023323889,SBJ023442990,gJAX00097622q,SBJ024287387,SBJ024343076,SBT024676952,SBR024956708,SBJ030341629,SBR030729861,SBB030805883,SBB031685245,SBJ031952786,SBJ032260408,SBR033363410,SBJ034218063,SBJ034360732,SBJ034626667,SBB035061110,SBJ035272030,SBJ035881520,SBJ036198213,SBR040689107,SBR042358271,SBJ042986544,SBJ043363012,SBR043649829,SBJ044442934,SBR044466521,SBR050365035,SBJ052840500,SBB053347475,SBT053834758,SBJ054695332,SBJ054817009,SBR060292159,SBJ060451207,SBB060966558,SBJ060972744,SBR061598665,SBJ061822650,SBJ063150383,SBB064242512,SBB064972355,SBB065640181,SBT070125779,SBJ070125933,SBJ070127230,SBT070127390,SBT070127539,SBJ070127987,SBT070128909,SBT070131511,SBJ070132448,SBT070133022,SBT070133029,SBJ070133596,SBJ070134822,SBJ070134853,SBT070136007,SBJ070137116,SBT070144908,SBT070145074,SBJ070145110,SBJ070145899,gUNC12372829,SBJ070146013,SBT070146680,SBJ070146690,SBT070179412,SBT070180950,SBJ070181233,SBT070181237,SBT070182410,SBT070189733,SBT070189898,SBJ070190060,SBT070190289,gUNC12382380,SBT070192925,SBJ070194364,SBT070194967,SBJ070195041,SBT070195049,SBT070520070,SBT070520756,gJAX00148771,gJAX00148771b,gUNCHS019472,SBJ070522140,SBJ070523363,SBT070523467,SBJ070523772,SBJ070523993,SBT070525231,SBT070530383,SBJ070530418,SBT070530495,SBT070530685,SBT070530772,mUNC070621878,SBT070637398,SBB071094317,SBJ071824561,SBR072942061,SBB073034666,SBR073155272,SBJ073756103,SBB073932646,SBJ074372332,SBJ074558197,SBB074858469,SBR080145300,SBB080461039,SBJ080694151,SBB081423344,SBJ082066039,SBJ082115191,SBJ083139730,SBB083787445,SBR083880500,SBJ084357244,SBJ084634728,SBJ084690426,SBJ084821480,SBJ091131236,SBJ091539829,SBB091549242,SBB091584165,SBB091705845,SBJ091981684,SBJ092992728,SBT093376034,SBJ093940862,SBJ093985219,SBR100356384,SBT100670018,SBT100774147,SBR101184714,SBJ103197776,SBJ103601755,SBT103665517,SBB103807422,SBR111464647,SBJ114214093,SBB121464901,SBJ122182223,SBR122387907,SBJ122881832,SBT123149928,SBJ123283083,SBJ123360839,SBB123733881,SBJ124309136,SBB130250070,SBJ131042561,SBJ131458531,SBT132238514,SBR132392332,SBB132408413,SBB133262301,SBB133801320,SBJ133808455,SBJ141274002,SBJ141489705,SBJ142498586,SBR142791054,SBB143232863,SBJ143686906,SBJ143732293,SBB150172204,UNCrs218676023,SBB150313258,SBB150324746,SBB150693979,SBB150841520,SBB151292935,rs264203947,SBJ153255607,SBJ153377703,SBR153450431,SBB153745700,SBJ153915063,SBB160639080,SBJ160894401,SBJ163052948,SBB163575800,SBJ173421843,SBT173556233,SBJ180818887,SBB183317687,SBJ183374202,SBJ190768497,SBJ191103206,SBR191166795,SBJ191787966,SBT192021029,SBT192273213,SBB192362068,SBJ192414635,SBJ200441896,SBJ200621694,SBJ200737797,SBJ201716288,SBJ204027928,SBJ205713578,SBJ206367145,SBB206446605
3481,2,10/17/2019,12/29/2019,73,528895,63,1,0,0,72.256,852.5,36.795,139.4,157,153,166.1,147.8,89.1,82.989,171,136.609,1281.2,428.7,96.096,207,181.1,213.8,270.9,263.8,159.5,192.1,41.7,56.8,117.9,97.7,11.7,103,28.33,31.134,25.919,19.392,17.7,14.134,0.427,-0.425340827,,,,,,,19,28.4,23.7,-0.026575159,J,B,B,B,B,B,B,B,B,B,B,B,B,J,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,H,H,H,H,H,B,B,B,H,H,H,H,H,H,J,J,J,J,J,J,J,H,H,H,H,H,J,J,J,H,H,H,H,H,H,J,J,J,J,H,J,J,J,J,H,H,H,H,H,H,B,B,B,H,H,H,H,H,H,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,J,J,J,J,J,B,B,J,J,H,H,H,H,H,B,H,H,H,H,J,J,J,H,H,H,H,H,H,B,B
3482,2,10/17/2019,12/29/2019,73,528897,64,1,1,0,32.739,759.9,16.255,168.7,56.6,126.3,135.7,132.9,139.7,77.704,150,116.707,835.8,75.9,58.439,204,171.9,211.9,241.5,111.2,43.4,55.9,3.2,155.3,115.2,-24.5,-89.5,-83.8,24.163,25.549,20.154,19.656,15.263,11.923,0.437,-0.083651734,,,,,,,60,23.6,41.8,1.131248461,H,H,H,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,B,B,B,B,H,H,H,H,H,H,H,H,H,H,B,B,B,B,H,H,H,H,H,H,H,B,B,B,B,H,H,B,B,B,B,B,B,H,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,J,H,H,H,B,B,B,B,B,H,H,H,J,J,J,J,J,J,J,H,H,H,H,H,H,H,H,H,J,J,J,J,H,H,H,H,H,H,H,H,J,H,H,H,H,H,H,H,H,H,B,B,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,J,J,H,H,H,H,H,H,B,B,B,B,B,B,B,B,H,H,H,J,J,J,J,J,B,B,B
3483,2,10/17/2019,12/29/2019,73,528897,65,1,1,0,30.153,801.9,13.936,149.7,150.7,190.4,18.7,62.5,229.9,19.868,27,92.786,1377.4,575.5,62.549,148,150.7,169.8,211.9,281.9,266.6,296.6,1,19.1,21.5,263.2,204.1,66.7,20.629,24.291,20.666,13.143,10.492,3.564,0.413,-0.951843276,,,,,,,20.3,16.3,18.3,-0.711084617,B,H,H,H,H,H,H,H,H,H,H,H,H,J,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,J,J,J,H,H,H,H,H,B,H,H,H,H,H,H,H,H,B,B,B,B,H,H,H,H,J,J,J,J,J,J,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,J,J,J,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,B,B,B,H,H,H,H,H,H,H,H,H,H,J,J,J,H,H,H,H,-,H,H,H,H,H,H,H,J,H,H,H,H,H,H,H,H,H,B,H,H,H,J,J,J,J,J,J,J,J,J,J,J,J
3484,2,10/17/2019,12/29/2019,73,528898,66,1,0,0,71.887,874.1,33.305,146,125,143.6,188.9,137.2,133.4,80.952,147,90.972,1218.6,344.5,56.763,162,241.8,270.3,221.5,228.6,158.3,98.1,95.8,145.3,77.9,39.7,21.1,-35.3,13.692,16.109,16.373,14.995,14.736,15.067,0.417,-0.79356111,,,,,,,16.8,17.1,16.95,-0.976893443,H,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,J,J,J,J,J,J,J,B,B,B,B,B,H,H,B,J,J,J,J,J,H,H,B,B,B,B,B,B,H,H,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,H,B,B,B,B,B,B,H,J,H,H,H,H,H,H,H,H,H,H,H,H,H,J,J,J,J,J,J,H,H,H,H,H,H,H,H,J,J,J,J,H,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,B,B,B,B,B,B,B,J,J,J,J,J,J,H,H,H,H,H,H,J,B,B,H,J,B,B,J,J,J,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
3485,2,10/17/2019,12/29/2019,73,528898,67,1,0,0,60.557,865.5,26.585,121.6,80.6,156.4,168.3,187.3,151.3,77.75,121,103.34,753.4,-112.1,47.318,147,131.8,78.3,60.1,133.7,140.5,209,10.2,-2.3,-96.3,-34.6,-46.8,57.7,21.957,20.573,15.758,16.504,14.794,13.753,0.421,-0.659143037,,,,,,,22.2,60,41.1,1.06645263,B,B,B,B,B,H,H,H,H,H,H,H,H,H,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B,J,H,H,H,H,H,H,H,J,J,J,H,H,J,J,H,H,H,H,H,H,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,J,J,J,J,H,H,H,H,H,H,H,H,H,J,J,J,H,J,J,J,J,J,J,H,H,H,H,J,J,J,J,H,H,H,H,H,B,B,B,B,B,H,H,H,H,H,H,H,H,J,J,J,J,J,J,B,B,B,B,B,B,B,H,H,H,H,J,J,J,J,J,J,J,J,J,H,H,H,H,H,H,J,H,H,J,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B
3486,2,10/17/2019,12/29/2019,73,528898,68,1,0,0,69.539,1013.1,36.825,171.7,167.8,171.3,201.9,180.3,120.2,24.865,33,82.757,1554.8,541.7,65.026,149,197.8,275.8,292.1,262.5,250.5,276.1,26.1,108,120.8,60.6,70.2,155.9,20.418,14.78,9.199,17.438,13.916,7.005,0.43,-0.335490776,,,,,,,24.6,60,42.3,1.201178471,J,J,J,J,J,J,J,J,J,J,J,J,J,H,B,B,B,B,B,B,B,B,B,B,B,J,J,J,J,J,J,J,J,J,J,J,J,H,H,J,J,J,J,J,J,J,H,B,B,B,B,B,B,B,B,B,B,B,B,J,J,J,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,J,J,J,J,J,J,J,J,H,J,J,J,H,H,H,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,J,J,J,J,H,H,H,H,H,B,J,J,J,J,J,J,J,J,H,H,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,J,J,J,J,J,J,J,J,J,J,J,J,J,H,H,H,H,H,H,B,J,J,H,H,H,H,H,H,H,H,B,B,B,H,H,B,B,B
3487,2,10/17/2019,12/29/2019,73,528898,69,1,0,0,32.57,945.3,16.145,178.7,230,129.5,119.2,140.4,147.5,46.254,27,116.404,846.3,-99,58.584,156,173.6,201.1,235.2,87.9,57.6,90.9,-5.1,-28.9,105.7,-31.3,-82.8,-56.6,21.258,24.327,19.604,23.483,15.25,12.483,0.416,-0.820792088,,,,,,,18.4,25.3,21.85,-0.142195236,J,J,H,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,J,J,J,J,J,J,J,H,H,H,H,H,H,H,H,H,H,H,H,H,H,J,J,J,J,J,J,J,H,H,H,H,H,J,H,H,B,B,B,B,B,B,H,J,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,H,H,B,B,B,B,B,B,B,B,H,H,H,H,B,B,J,J,J,H,H,H,H,H,B,B,J,H,H,H,H,H,H,H,H,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,H,J,J,H,J,J,J,J,J,J,J,B,H,H,H,H,H,H,H
3488,2,10/17/2019,12/29/2019,73,528899,70,1,1,0,66.515,883.2,32.803,140.5,152.7,163.8,136.7,148.4,141.1,57.602,95,62.572,1373.2,490,38.035,116,143.8,146.4,246.6,279.7,277,279.7,3.3,-6.3,82.8,143,128.6,138.6,18.02,15.121,11.667,6.606,7.172,3.987,0.401,-1.376627478,,,,,,,11,15.6,13.3,-1.539530197,J,J,J,J,J,H,H,H,H,H,H,H,H,J,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,H,H,H,H,H,J,J,H,H,H,H,H,H,H,H,H,B,B,H,H,H,H,H,H,H,H,B,B,B,B,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,H,H,J,J,J,J,J,J,J,J,J,J,J,B,B,B,B,B,B,B,B,B,B,H,H,H,B,B,B,B,B,H,H,J,H,H,H,H,H,H,B,B,H,B,B,B,B,B,B,B,B,H,H,J,H,H,H,H,B,B,B,B,B,B,B,B,B,B,B,H,H,B,B,B,B,H,H,H,J,J,B,B,B,H,J,J,J,J,B,B,B,B,B,B,B,B
3489,2,10/17/2019,12/29/2019,73,528899,71,1,1,0,68.847,861.4,34.403,159.9,134.5,141.6,154.7,145.1,125.6,34.098,20,108.859,1673.6,812.2,99.789,193,258.9,295.3,299.2,296.4,286.5,237.3,99,160.8,157.6,141.7,141.4,111.7,22.421,24.036,20.024,17.997,13.484,10.896,0.452,0.425340827,,,,,,,26.1,15.9,21,-0.287340533,J,J,J,J,J,J,J,J,J,J,J,J,J,J,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,J,J,J,J,J,J,J,J,J,J,J,H,H,J,J,H,H,H,H,H,H,J,J,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,J,J,J,J,H,H,H,H,J,J,J,J,J,J,J,J,J,J,J,B,B,B,H,H,H,H,H,H,B,B,H,H,H,H,H,H,H,H,H,-,H,B,B,H,H,H,H,H,J,J,J,H,H,H,-,B,B,J,H,H,H,H,H,H,H,J,J,J,J,J,B,B,B
3490,2,10/17/2019,12/29/2019,73,528899,72,1,1,0,61.35,847.4,27.958,142.3,165.2,148.2,103.7,165,123,51.591,34,99.736,1519.7,672.3,77.695,109,146.7,195.4,294.9,294,300,288.7,4.4,30.2,146.7,190.3,135,165.7,18.533,21.775,17.445,15.953,13.784,12.246,0.471,1.066329962,,,,,,,14.9,27.9,21.4,-0.205148851,H,H,J,B,B,B,B,B,B,B,B,B,B,H,B,B,B,B,H,H,H,H,H,H,H,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,J,J,H,H,B,B,B,B,B,H,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,H,H,H,H,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,B,H,J,J,H,H,H,H,H,H,H,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,-,J,J,J,J,J,J,J,H,H,B,B,H,H,H,B,B,B,B,B,B,B,B,J,J,J,J,J,J,J,J
3491,2,10/17/2019,12/29/2019,73,528900,73,1,0,0,61.401,827.3,28.217,123.9,194.1,145.4,128.9,135,99.9,85.978,161,125.878,1238.8,411.5,87.834,164,212,254.5,277.1,204.9,155.3,135.1,88.1,60.4,131.7,76,20.3,35.2,21.923,23.789,24.282,19.918,18.077,17.889,0.446,0.223007831,,,,,,,60,39.8,49.9,1.785347634,H,H,H,H,H,H,J,J,J,J,J,J,J,J,H,H,H,H,H,H,H,H,H,H,H,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,J,J,J,H,H,H,H,H,H,H,H,H,B,B,B,H,B,B,B,B,B,B,B,B,B,B,J,J,J,J,H,H,H,H,J,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,J,J,H,H,H,H,H,B,B,B,B,B,B,H,H,H,H,J,J,J,J,J,J,J,J
3492,2,10/17/2019,12/29/2019,73,528900,74,1,0,0,84.186,780,37.473,171.7,134.1,123.2,84.6,129.9,136.5,25.201,24,85.749,1528,748,65.085,136,165.9,232.5,300,300,291.8,237.9,-5.8,98.4,176.8,215.4,161.9,101.4,22.038,21.893,13.476,9.624,8.311,10.409,0.446,0.223007831,,,,,,,25.2,28.1,26.65,0.273521592,B,B,B,B,B,B,H,H,H,H,H,H,H,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,J,J,J,J,J,J,J,H,B,B,B,H,H,H,J,J,J,J,J,J,H,H,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,J,J,J,J,J,J,B,B,B,B,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,J,J,J,J,J,J,J,J,H,B,H,H,H,H,H,J,J,J,H,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,J,J,J,J,J,H,H,H,H,H,H,B,B,H,H,J,H,H,H,H,H,H,H,H,H,H,J,J,J,J,H,H,H,H
3346,3,10/31/2019,1/9/2020,70,535136,75,1,0,0,48.565,978.2,25.628,151,164.8,193.4,196.9,114.6,157.5,42.783,130,54.436,810.4,-167.8,27.316,170,137.9,154.5,91.9,128.4,174,123.7,-13.1,-10.3,-101.5,-68.5,59.4,-33.8,23.05,14.928,12.058,11.043,10.536,6.608,0.434,-0.177871964,,,,,,,28.7,22.4,25.55,0.151148395,H,H,H,H,B,B,B,B,B,B,B,B,B,B,J,J,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,J,J,J,J,J,J,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,J,J,J,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,J,J,J,J,J,J,J,J,J,J,J,J,J,J,H,H,H,H,B,B,B,B,B,B,B,B,H,H,H,H,H,J,J,J,J,J,H,H,H,J,J,H,H,H,H,H,H,H,H,H,J,J,J,J,J,J,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,J,J,B,B,H,H,J,H,H,H,H,H,B,B,B,B,B,H,H,H,H,H,H,B,B
3347,3,10/31/2019,1/9/2020,70,535136,76,1,0,0,57.987,683.4,25.294,51.7,130.7,128.7,148.8,109.7,113.9,45.074,111,78.224,381.2,-302.2,22.837,167,63.9,45.5,47.8,91.4,75.4,57.3,12.2,-85.2,-80.9,-57.4,-34.3,-56.6,20.78,11.057,6.534,6.011,5.507,4.547,0.4394,0.02949402,,,,,,,23.6,29.3,26.45,0.250604191,B,B,B,B,B,B,H,H,H,H,H,H,H,B,H,H,J,J,J,J,J,J,J,J,J,H,H,H,H,H,H,H,H,H,H,J,J,J,H,B,H,H,H,H,H,H,H,H,H,H,B,B,H,H,H,H,H,H,B,B,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,H,H,H,H,J,J,J,J,J,J,J,J,H,H,H,B,B,B,B,H,H,H,H,J,J,B,B,B,B,B,B,B,J,J,J,J,J,J,J,H,H,H,H,H,H,H,H,J,J,J,J,J,J,J,J,J,B,B,H,B,B,J,J,J,J,J,J,J,J,B,B,B,B,H,H,H,H
3348,3,10/31/2019,1/9/2020,70,535136,77,1,0,0,50.617,1055.2,27.784,167.9,166.8,183.5,173.5,167.4,196.2,44.856,133,102.924,1285.4,230.2,62.899,141,195.6,149.1,197.2,217.9,249.3,276.2,27.7,-17.7,13.7,44.4,81.9,80,21.316,21.841,19.513,16.779,14.718,8.757,0.4102,-1.066329962,,,,,,,16.7,20,18.35,-0.68285314,B,B,B,B,B,B,B,B,B,B,B,B,H,H,J,J,J,J,J,J,J,J,J,J,J,B,B,B,B,B,B,H,H,H,H,J,J,J,J,B,B,B,B,B,B,B,B,J,J,J,J,J,J,J,J,J,J,J,H,H,B,B,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,B,B,H,H,H,H,H,H,H,J,J,J,J,B,H,H,H,H,H,H,H,H,H,B,B,B,H,J,J,J,J,H,H,J,J,J,J,J,J,J,J,H,H,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,J,J,J,J,J,J,J,J,H,J,J,J,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,H,H,H
3349,3,10/31/2019,1/9/2020,70,535136,78,1,0,0,68.649,914.1,33.503,159.7,131.6,170.4,129.5,160.9,162.1,82.506,154,115.008,1175.5,261.4,63.417,138,168.4,171.7,228.9,239.4,207.7,159.4,8.7,40.1,58.5,109.9,46.8,-2.7,24.639,26.043,20.354,18.043,14.812,11.117,0.465,0.89170883,,,,,,,20.8,34.8,27.8,0.381031046,H,H,H,H,H,H,H,H,H,H,H,H,H,J,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,J,J,H,H,H,H,H,B,B,B,B,B,B,H,H,H,H,H,H,J,J,J,J,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B,J,J,J,J,J,J,J,J,J,J,J,J,J,B,B,B,B,B,H,H,H,H,H,J,J,J,J,H,H,H,H,J,H,J,J,J,J,H,H,H,H,H,J,J,J,J,J,J,J,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,J,J,H,H,H,H,B,B,B,H,H,J,J,J,J,J,J,J,J,B,B,H,H,H,H,H,H
3350,3,10/31/2019,1/9/2020,70,535135,79,1,1,0,70.99,1000.6,37.18,143.3,173.7,169.8,165.2,181.1,167.6,52.274,173,66.325,658.9,-341.7,27.555,87,187.8,114.8,58.6,71.6,113.5,112.5,44.5,-58.9,-111.2,-93.6,-67.6,-55.1,24.273,19.014,14.34,9.789,9.784,12.893,0.4239,-0.524400513,,,,,,,16.6,14.4,15.5,-1.148206341,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,B,B,B,H,H,H,H,H,H,H,H,H,B,B,H,B,B,B,B,H,H,H,B,B,B,B,B,J,J,J,J,H,H,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,J,J,H,H,H,H,H,H,J,J,J,J,J,J,J,J,J,J,B,B,B,B,B,B,B,B,B,B,H,H,H,J,H,H,H,B,B,B,J,J,J,J,J,J,J,J,H,B,B,B,B,B,B,J,J,J,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,B,B,H,B,B,B,B,B,B,B,B,B,B,J,J,J,J,B,B,J,J
3360,3,11/1/2019,1/9/2020,69,528938,80,1,1,0,80.535,848.6,38.995,145,143.4,154.9,155.1,138.7,111.5,86.052,213,81.819,1181.3,332.7,45.426,127,181.5,122.6,234.8,266.4,232.9,143.1,36.5,-20.8,79.9,111.3,94.2,31.6,17.745,12.042,11.713,9.274,7.633,7.918,0.4335,-0.192872499,,,,,,,40.4,44.7,42.55,1.219604497,J,J,J,J,J,J,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,-,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,J,H,H,H,H,H,H,H,H,H,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,J,B,B,H,H,H,H,H,H,H,H,J,J,J,J,J,B,B,B
